Type,Title,ngstarinserted__divcontains_class_ecludnone,ngstarinserted__divcontains_class_ecludnone3,eclrow,eclrow5,eclrow7,Content8,eclrow9,Image
 Balay , 3FCE568WE ,Annual energy consumption, 116,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 346, 346,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Balay , 3FCE563WE ,Annual energy consumption, 116,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 346, 346,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Balay , 3FCE563ME ,Annual energy consumption, 116,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 346, 346,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , SCE818E6TF 925516102 ,Annual energy consumption, 214,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 187, 187,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , SCE818E5TC 925516104 ,Annual energy consumption, 215,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 184, 184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB732E5MB 925993315 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Husqvarna , QRT7600X 925993357 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB732E4MG 925993284 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB646E3MX 925993286 ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 137,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 344, 344,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB646E3MB 925993287 ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 137,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 344, 344,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNC7ME34W1 925993300 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNT7ME34K1 925993326 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNT7ME34G1 925993327 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E2NW 922717134 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E2NX 922717116 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E3NX 922717138 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Husqvarna , QT7000X 922717137 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NB 922717122 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7NE28X1 922717109 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7NE28W2 922717110 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7NE28X2 922717139 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E1NX 922717142 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NB 922717145 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , SCE818E6TC 925516105 ,Annual energy consumption, 214,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 187, 187,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Senz , SS350S20N ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 151,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 291, 291,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB632E5MW 925993268 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB632E4MM 925993350 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB732E5MX 925993314 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCS732ECMB 925993342 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB636E5MX 925993360 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB636E4MX 925993279 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB736E5MB 925993318 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCS736EXMB 925993346 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCS736EXMK 925993349 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNC7ME32W1 925993293 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNT7ME32X2 925993295 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNC7ME34X1 925993301 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E4NW 922717141 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Husqvarna , QT6000X 922717136 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NX 922717147 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NB 922717148 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Balay , 3FCE563XE ,Annual energy consumption, 116,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 346, 346,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , S18E5T 925516108 ,Annual energy consumption, 215,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 184, 184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , ENT7TE18R 925516114 ,Annual energy consumption, 214,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 187, 187,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB632E5MW 925993313 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB632E4MW 925993271 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB732E5MB 925993275 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Husqvarna , QRT6600W 925993355 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB736E5MX 925993317 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB736E4MK 925993347 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB736E4ML 925993348 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , RCB732E4MG 925993319 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNC7ME32X2 925993291 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNT7ME34X2 925993303 ,Annual energy consumption, 250,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNT7ME46W2 925993365 ,Annual energy consumption, 287,Sum of the volumes of the frozen compartment(s), 137,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 344, 344,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E6NW 922717117 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Husqvarna , QT6000W 922717135 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E4NX 922717120 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
﻿ AEG , AGB728E6NX 922717140 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7NE28W1 922717108 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7ME28X2 922717111 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LUT7ME28X4 922717112 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NX 922717144 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB728E5NW 922717149 ,Annual energy consumption, 248,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Balay , 3GFF568WE ,Annual energy consumption, 294,Sum of the volumes of the frozen compartment(s), 242,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KUT5NF26X 925052609 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Husqvarna , QT3462X 925052605 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZRME38FW2 923421201 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUT5NF28W1 922717079 ,Annual energy consumption, 311,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KUT5NF26W 925052620 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , ART 7811 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Balay , 3GFF563WE ,Annual energy consumption, 294,Sum of the volumes of the frozen compartment(s), 242,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , ABB660F1AS 922691688 ,Annual energy consumption, 204,Sum of the volumes of the frozen compartment(s), 57,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , RKS439F1DW 925052201 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LNT5MF36W0 925993297 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZNME32FW0 925993328 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Faure , FCBE32FW0 925993334 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZNME32FU0 925993329 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LRT5MF38U0 923421129 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZRME38FU2 923421202 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZUHE30FU2 922717132 ,Annual energy consumption, 311,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NABO , FK 8900 ,Annual energy consumption, 102,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 98, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Balay , 3GFF568XE ,Annual energy consumption, 294,Sum of the volumes of the frozen compartment(s), 242,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUT5NF26X 925052604 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZNME32FU0 925993308 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 230, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZNME36FU0 925993311 ,Annual energy consumption, 313,Sum of the volumes of the frozen compartment(s), 101,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 266, 266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LRT5MF38W0 923421128 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LRT5MF38U1 923421131 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUT5NF28U1 922717129 ,Annual energy consumption, 311,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZUHE30FW1 922717082 ,Annual energy consumption, 311,Sum of the volumes of the frozen compartment(s), 280,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Husqvarna , QT3462W 925052622 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , AGE625F7NX 925052614 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Balay , 3GFF563ME ,Annual energy consumption, 294,Sum of the volumes of the frozen compartment(s), 242,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , RKB439F1DX 925052199 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , EUB2AF60S 922691690 ,Annual energy consumption, 204,Sum of the volumes of the frozen compartment(s), 57,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , AGB625F5NW 925052629 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUT5NF26W 925052615 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , EUT5NF26W 925052618 ,Annual energy consumption, 299,Sum of the volumes of the frozen compartment(s), 253,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
