Type,Title,eclrow,eclrow1,eclrow4,eclrow5,Image
 MAWI ," TEMIS LIFT  1,25 ",Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 576,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304487 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 216,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304492 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 765,86",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304488 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 128,15",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304494 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 304,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304497 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 766,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 850 V2 291304498 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 153,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , OPAL V3 247007457 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 741,94",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005584 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 993,30",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247007060 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 281,65",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005518 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 525,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005557 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 807,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , GRANIZADO 263505315 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 433,19",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 MAWI , ARIA-0.9 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 488,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KAPLANLAR , OPAL V3 247005515 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 074,47",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005582 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 525,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005580 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 526,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005583 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 525,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005581 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 525,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL V3 247005561 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 997,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005568 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 931,88",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005566 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 967,91",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005513 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 328,22",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005560 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 997,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247011113 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 001,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005512 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 261,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005567 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 931,88",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005563 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 184,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005558 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 021,19",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005511 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 157,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247005519 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 165,32",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL V3 247009163 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 194,65",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , OPAL V3 247009174 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 800,05",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Maxxfrost , 4660.703 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 245,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , CITRINE 830 LB 273310732 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 387,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 GastroHero , BBD230 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 408,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MAWI ," TEMIS 0,94 ",Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 692,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Moka Efti Srl , P03G ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 209,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
" Seitek International Co., Limited Incompleto ", BC9CN ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 574,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 U5 , FROST 400 PS ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 362,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 U5 , KRYO 70 P EMD C ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 841,67",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 U5 , VERTICAL VINTAGE 350 NS EMD ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 763,70",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , LCT TUCANA 02 3.75 SELF 02050022 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 361,64",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ES SYSTEM K , LCT TUCANA 02 2.5 SELF 02050022 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 986,85",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246810996 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 055,55",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246811119 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 412,95",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246811000 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 770,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , RODONIT HM V2 246805439 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 150,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246811117 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 570,70",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246810998 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 745,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246811122 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 434,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT HMS V2 246811124 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 092,15",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 JUKA , K-1 ML 6 ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 2 372,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 L2G , SC-LD53C ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 908,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 L2G , SC-LD70C ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 299,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 GGG , KVC460.01 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 822,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 L2G , SC-LS88AHA ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 432,60",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 ES SYSTEM K , SCL LYNX 3D 02030121 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 318,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244610537 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 767,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244611002 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 843,95",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244611004 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 843,95",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244605052 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 778,55",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244607338 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 490,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KAPLANLAR , RODONIT FMS FV V2 244605053 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 17 640,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KAPLANLAR , OPAL M 750 V2 291610051 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 770,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL M 750 V2 291610047 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 770,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , OPAL M 750 V2 291610053 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 650,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 UĞUR , UMD 2100 D3K D/S DF MARMARIS ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 971,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , OPAL M 750 V2 291610049 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 650,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 La Bari , UDD-600-BK ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 1 199,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Jordao Cooling Systems , VICTORY 84 R290 SP 937 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 680,96",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Jordao Cooling Systems , VICTORY 84 R290 SP 625 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 314,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Jordao Cooling Systems , VICTORY 72 R290 SP 625 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 110,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Jordao Cooling Systems ,  VICTORY 84 R290 SP 1250 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 148,36",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Jordao Cooling Systems , VICTORY 72 R290 SP 937 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 424,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Jordao Cooling Systems , VICTORY 72 R290 SP 1562 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 950,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Jordao Cooling Systems , VICTORY 72 R290 SP 1250 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 796,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Jordao Cooling Systems , VICTORY 72 R290 SP 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 144,21",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Jordao Cooling Systems , VICTORY 84 R290 SP 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 669,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Jordao Cooling Systems , VICTORY 84 R290 SP 1562 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 388,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604243 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 997,15",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251607000 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 150,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251607002 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 165,05",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Diamond , TAVX/4G-R2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 171,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604284 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 165,05",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604242 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 376,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Diamond , TAVX/2G-R2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 368,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604282 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 150,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606128 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 376,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Diamond , TAVT/2G-R2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 368,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606109 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 781,70",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604245 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 796,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604191 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 836,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606111 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 095,80",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606995 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 530,15",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606998 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 14 245,95",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604249 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 530,15",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KBS Gastrotechnik GmbH , D 200 ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 695,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251606113 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 596,25",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KAPLANLAR , PEARL T WIDE V2 251604280 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 14 245,95",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 KBS-Gastrotechnik GmbH , KBS 1250 GDU ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 2 997,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 ES SYSTEM K , LCT TUCANA 03 3.125 SELF GO 01010022 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 836,65",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 ES SYSTEM K , LCT TUCANA 03 3.125 SELF GO R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 836,65",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 KBS Gastrotechnik GmbH , Cube ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 703,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 KBS Gastrotechnik GmbH , KBS Quad ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 002,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04 CA744 (+FS) 3750 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 404,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-T-H CA744 (+FS) 2500 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 972,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 U5 , CAN 40T ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 178,85",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-T-H CA744 (+FS) 3750 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 669,51",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-M-K CA744 (+FS) 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 132,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-T-H CA744 (+FS) 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 123,70",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04 CA744 (+FS) 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 495,54",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04 CA744 (+FS) 2500 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 119,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-T CA744 (+FS) 2500 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 119,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-T CA744 (+FS) 3750 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 404,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 U5 , CAN 50T ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 182,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-H CA744 (+FS) 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 123,70",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HAUSER GmbH  , URP04-M CA744 (+FS) 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 495,54",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Maxxfrost , 4181.088 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 492,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HAUSER GmbH  , URP04-M-K CA744 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 862,40",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HAUSER GmbH  , URP04-H CA744 (+FS) 2500 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 972,43",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HAUSER GmbH  , URP04-H CA744 (+FS) 3750 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 669,51",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Maxxfrost , 4181.086 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 383,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HAUSER GmbH  , URP04-T CA744 2500 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 14 475,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HAUSER GmbH  , URP04-T-H CA744 1875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 656,01",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
